"オフェンスセンス","1対1の局面でプレーの精度に影響を及ぼす数値。相手のディフェンスの数値と相殺し、上回れば相手チャージの影響を受けにくい。"
"ボールコントロール","トラップやドリブルなどのボールを操る技術を表す数値。"
"ドリブル","ドリブルのテクニックを表した数値。この数値が高い選手は細かいドリブルが可能で、切り返しが素早くなり、足元にしっかりキープできる。"
"グランダーパス","低い弾道のパス。この数値が高いほど素早く正確なグランダーパスを出すことができる。"
"フライパス","高い弾道(浮き球)のパス。この数値が高いほど正確なフライパスを出すことができる。"
"カーブ","フリーキックやコーナーキックでボールを蹴る際に曲がったボールを蹴ることができる。この数値が高いとよりボールを曲げることができる。"
"ヘディング","ヘディング全般の精度を表した数値。この数値が高いと、叩き込む以外に擦るヘディングや落とすパスも正確になる。浮球の競り合いにも影響。"
"ディフェンスセンス","オフェンス同様に局面での強さを表した数値。この数値が大きいほど相手に競り勝ち、ボールを奪える可能性が高い。ＧＫの守備にも影響する。"
"ボール奪取","相手のパスコースを読みボールをカットする能力。"
"キック力","シュートのときだけでなく、いろいろなキックの力に影響する数値。この値が高ければ高いほど、勢いのある強いボールを蹴ることができる。"
"スピード","ボールを持たずに走ったの速さを表す。ダッシュドリブルの最高速度や、ＣＰＵがボールを追いかけるときの速さにも影響する。"
"瞬発力","最高速度に達するまでの早さを表した数値。この数値が高ければ高いほど、短時間でスピードに乗るので、人においつき、追い越すときに重要。"
"ボディバランス","チャージしてくる選手よりも、ボールをキープしているほうがこの数値が20以上高ければ、プレーの精度は落ちない。空中戦では影響しない。"
"ジャンプ","ハイボールに対するジャンプ力を表した数値。ペナルティエリアで競り合うＣＦやＣＢにはとくに重要。ＤＨもこの数値が高いと得する機会は多い。"
"スタミナ","持久力のこと。この数値を換算した試合中の体力が半分以下になるとスピード、ダッシュ、レスポンスが低下する。"
"GKセンス","ＧＫ全般の能力を表します。"
"キャッチング","飛んできたボールをしっかりキャッチして自分のボールにします。"
"クリアリング","危ないボールを安全なスペースにボールを蹴ったり外に出したりする能力。"
"コラブシング","低い球のシュートをセーブするとき、素早く体を倒してボールをセーブします。"
"ディフレクティング","ボールに手を伸ばしシュートコースを変える能力。"
"逆足頻度","利き足ではない足を使う頻度。"
"逆足精度","利き足ではない足を使ったときの精度。"
"コンディション安定度","選手の調子を表す数値。この数値が高いほど、調子は安定するので絶不調などにはなりにくい。"
"ケガ耐性","危険なタックルやファールをされてもケガになりにくい。"
